Category,Disease,Pathogen,Afflict,Full plant name
BACTERIAL DISEASES,Bacterial leaf spot,Pseudomonas cichorii(Swingle 1925) Stapp 1928,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
BACTERIAL DISEASES,Southern wilt,"Ralstonia solanacearum(Smith 1896) Yabuuchi et al. 1996,comb. nov.=Pseudomonas solanacearum(Smith 1896) Smith 1914",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Ascochyta leaf spot,Ascochyta doroniciAllesch.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Alternaria leaf spot,"Alternaria alternata(Fr.:Fr.) Keissl.
A. dauci(Kühn) Groves & Skolko
A. gerberaeRabbe et al.",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Black root rot,"Thielaviopsis basicola(Berk. & Broome) Ferraris
Chalara elegansNag Raj & Kendr. [synanamorph]",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Botrytis blight,Botrytis cinereaPers.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Cercospora leaf spot,Cercospora gerberaeChupp & Viegas,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Downy mildew,Plasmoparasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium crown rot,Fusarium solani(Mart.) Sacc.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium root rot,Fusarium oxysporumSchlechtend.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Fusarium wilt,Fusarium oxysporumSchlechtend.:Fr.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Nectria canker,Nectria haematococcaBerk. & Broome,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Phyllosticta leaf spot,Phyllostictasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Phytophthora crown and root rot,"Phytophthora cryptogeaPethybr. & Lafferty
PhytophthoraparasiticaDastur",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Powdery mildew,"Erysiphe cichoracearumDC
Sphaerothecasp.",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Pythium root rot,Pythiumspp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Rhizoctonia root and crown rot,Rhizoctonia solaniKühn,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Rhizopus blight,Rhizopus stolonifer(Ehrenb.:Fr.) Vuill.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Sclerotinia blight,Sclerotinia sclerotiorum(Lib.) deBary,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Septoria leaf spot,Septoriasp.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Southern blight,Sclerotium rolfsiiSacc.,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Verticillium wilt,Verticillium albo-atrumReinke & Berthier,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,Web blight,Rhizoctonia solaniKühn,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
FUNGAL DISEASES,White rust,Albugo tragopogonis(Pers.) S.F. Gray,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Foliar nematode,Aphelenchoides fragariae(Ritzema Bos) Christie,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Root knot nematodes,"Meloidogyne arenaria(Neal) Chitwood
M. haplaChitwood
M. incognita(Kofoid & White) Chitwood
M. javanica(Treub) Chitwood",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Sting nematode,Belonolaimus longicaudatusRau,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
"NEMATODES, PARASITIC",Stubby root nematode,Paratrichodorus minor(Colbran) Siddiqi,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Cucumber mosaic,"genusCucumovirus,Cucumber mosac virus(CMV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Impatiens necrotic spot,"genusTospovirus,Impatiens necrotic spot virus(INSV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Spotted wilt,"genusTospovirus,Tomato spotted wilt virus(TSWV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Tobacco mosaic,"genusTobamovirus,Tobacco mosaic virus(TMV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
VIRUS AND VIROID DISEASES,Tobacco ring spot,"genusTobravirus,Tobacco rattle virus(TRV)",African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Daisy,African Daisy ( Gerbera jamesonii H. Bolus ex J. D. Hook)
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
BACTERIAL DISEASES,Bacterial blight,"ErwiniachrysanthemiBurkholder, McFadden & Dimock",African Violet,African Violet ( Saintpaulia ionantha Wendl.)
BACTERIAL DISEASES,Crown gall,Agrobacteriumtumefaciens(Smith & Townsend) Conn,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Crown rot,SclerotiumrolfsiiSacc.,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
FUNGAL DISEASES,Cylindrocarpon root rot,Cylindrocarpondestructans(Zinssmeister) Scholten,African Violet,African Violet ( Saintpaulia ionantha Wendl.)
