,level,parent,name,q,eppo
0,7,8616,Arrabidaea,Q8204880,1ABDG
1,7,8619,Artocarpus,Q161085,1ABFG
2,8,61,Arundinaria,Q2700649,1ABHG
3,6,374,Abies,Q25350,1ABIG
4,8,8624,Aronia,Q158983,1ABOG
5,8,8627,Abutilon,Q132638,1ABUG
6,8,8629,Acacia,Q81666,1ACAG
7,8,8631,Acalypha,Q161225,1ACCG
8,8,8634,Acer,Q42292,1ACRG
9,7,8639,Adiantum,Q673823,1ADIG
10,8,8634,Aesculus,Q158752,1AECG
11,8,8641,Arenga,Q142023,1AGBG
12,8,45,Aglaonema,Q740819,1AGLG
13,8,8646,Agapanthus,Q159541,1AGPG
14,8,8647,Agrostis,Q161137,1AGSG
15,8,8648,Arachnis,Q133781,1AHIG
16,8,8651,Alpinia,Q150572,1AIIG
17,6,8653,Aizoaceae,Q156219,1AIZF
18,8,8655,Agastache,Q2020837,1AJTG
19,8,8629,Albizia,Q664945,1ALBG
20,8,45,Alocasia,Q644312,1ALDG
21,8,8656,Aleurites,Q141267,1ALEG
22,8,8627,Althaea,Q157706,1ALGG
23,8,8657,Allium,Q49391,1ALLG
24,8,8658,Alternanthera,Q2840398,1ALRG
25,7,8660,Alstroemeria,Q917833,1ALTG
26,7,8662,Alnus,Q25239,1ALUG
27,8,8665,Allamanda,Q1262196,1ALWG
28,6,8653,Amaranthaceae,Q155931,1AMAF
29,8,8658,Amaranthus,Q156344,1AMAG
30,8,8668,Ambrosia,Q844270,1AMBG
31,8,8671,Ampelopsis,Q158192,1AMCG
32,8,8624,Amelanchier,Q156957,1AMEG
33,8,8672,Amorpha,Q1318931,1AMHG
34,8,8674,Anacardium,Q161175,1ANAG
35,7,74,Ananas,Q147316,1ANHG
36,8,8678,Anemone,Q158286,1ANMG
37,8,8679,Andropogon,Q310768,1ANOG
38,8,8668,Anthemis,Q847930,1ANTG
39,8,8683,Annona,Q275737,1ANUG
40,7,8664,Apocynoideae,Q143102,1APCS
41,8,8684,Aquilegia,Q147641,1AQIG
42,7,8686,Aralia,Q132636,1ARLG
43,6,8643,Araceae,Q48227,1ARMF
44,8,8687,Areca,Q157289,1ARMG
45,7,43,Aroideae,Q133666,1ARMS
46,8,8668,Artemisia,Q156421,1ARTG
47,7,195,Arctostaphylos,Q280566,1ARYG
48,8,8672,Astragalus,Q157184,1ASAG
49,7,8691,Asplenium,Q5347305,1ASLG
50,8,8693,Asparagus,Q2853420,1ASPG
51,8,8668,Aster,Q517130,1ASTG
52,7,379,Antirrhinum,Q157646,1ATHG
53,7,8694,Actinidia,Q164898,1ATIG
54,8,105,Atriplex,Q157801,1ATXG
55,8,8695,Anthurium,Q239835,1AURG
56,8,8697,Avicennia,Q132645,1AVIG
57,8,8671,Ampelocissus,Q4033940,1AWSG
58,8,8698,Atalantia,Q5555801,1AYAG
59,8,8668,Baccharis,Q133834,1BACG
60,8,61,Bambusa,Q311331,1BAMG
61,7,224,Bambusoideae,Q670887,1BAMS
62,7,379,Bacopa,Q1409203,1BAOG
63,8,8699,Bauhinia,Q287313,1BAUG
64,8,8687,Bactris,Q135451,1BCTG
65,7,8700,Berberis,Q158503,1BEBG
66,7,8702,Begonia,Q158617,1BEGG
67,7,8662,Betula,Q25243,1BETG
68,8,8703,Beaucarnea,Q134956,1BEUG
69,7,459,Brugmansia,Q757262,1BGMG
70,8,8668,Bidens,Q157173,1BIDG
71,8,8705,Blechum,Q2714426,1BLCG
72,7,332,Bougainvillea,Q156996,1BOUG
73,7,459,Brunfelsia,Q133852,1BRFG
74,6,8621,Bromeliaceae,Q156529,1BROF
75,8,8647,Bromus,Q147621,1BROG
76,7,138,Brassica,Q58677,1BRSG
77,7,8619,Brosimum,Q2290771,1BSMG
78,8,8648,Brassia,Q133793,1BSSG
79,7,444,Buddleia,,1BUDG
80,7,8707,Bursera,Q2367288,1BUEG
81,7,8709,Buxus,Q158703,1BUXG
82,6,8653,Cactaceae,Q14560,1CACF
83,7,8710,Camellia,Q212815,1CAHG
84,8,8672,Cajanus,Q3239959,1CAJG
85,6,8661,Casuarinaceae,Q474620,1CASF
86,8,8629,Cassia,Q162882,1CASG
87,8,8641,Caryota,Q513475,1CAWG
88,7,296,Calathea,Q1650700,1CBAG
89,8,8711,Carpobrotus,Q134968,1CBSG
90,6,154,Calocedrus,Q765246,1CCDG
91,8,8687,Cocos,Q13099531,1CCNG
92,7,8714,Cercidiphyllum,Q858028,1CCPG
93,8,8699,Cercis,Q29033,1CCSG
94,6,8718,Cycas,Q161073,1CCYG
95,8,8656,Codiaeum,Q135027,1CDIG
96,8,8719,Cordyline,Q1543189,1CDLG
97,7,8720,Cedrela,Q162792,1CEDG
98,7,8722,Celastrus,Q811662,1CELG
99,8,8658,Celosia,Q159223,1CEOG
100,7,8723,Celtis,Q248582,1CETG
101,6,374,Cedrus,Q128550,1CEUG
102,6,154,Chamaecyparis,Q147791,1CHCG
103,7,195,Chamaedaphne,,1CHDG
104,8,105,Chenopodium,Q158094,1CHEG
105,7,28,Chenopodioideae,Q1070132,1CHES
106,8,8668,Chrysanthemum,Q59882,1CHYG
107,8,8671,Cissus,Q2046407,1CIBG
108,8,8698,Citrus,Q81513,1CIDG
109,7,8662,Carpinus,Q158513,1CIPG
110,8,8668,Cirsium,Q1638558,1CIRG
111,8,8698,Citroncirus,,1CJCG
112,8,8668,Calendula,Q147281,1CLDG
113,8,45,Caladium,Q1521382,1CLFG
114,8,8672,Calopogonium,Q5023261,1CLOG
115,8,8724,Calamus,Q165260,1CLUG
116,8,8678,Clematis,Q157634,1CLVG
117,8,8727,Callistemon,Q496460,1CLXG
118,8,8687,Chamaedorea,Q820113,1CMDG
119,8,8729,Columnea,Q2573370,1CMNG
120,8,8731,Campanula,Q157069,1CMPG
121,8,8668,Cosmos,Q476937,1CMSG
122,6,154,Cryptomeria,Q5190987,1CMYG
123,7,8707,Canarium,Q2367663,1CNBG
124,8,8624,Chaenomeles,Q157616,1CNMG
125,8,8732,Choisya,Q1468246,1COAG
126,8,8734,Coccoloba,Q135463,1CODG
127,8,8627,Callirhoe,Q3626558,1COEG
128,7,425,Coffea,Q156354,1COFG
129,7,8735,Combretum,Q1777188,1COGG
130,6,8667,Asteraceae,Q25400,1COMF
131,8,8738,Commelina,Q161075,1COMG
132,7,133,Convolvulus,Q147507,1CONG
133,6,8704,Convolvulaceae,Q145777,1COVF
134,7,459,Capsicum,Q201959,1CPSG
135,8,8641,Corypha,Q1072825,1CPYG
136,8,8672,Caragana,Q849443,1CRAG
137,8,8739,Corchorus,Q161489,1CRGG
138,6,8706,Brassicaceae,Q156888,1CRUF
139,7,8741,Cornus,Q159545,1CRWG
140,8,8742,Carex,Q158501,1CRXG
141,7,8743,Crassula,Q158253,1CSBG
142,8,8624,Crataegus,Q132557,1CSCG
143,7,8744,Castilleja,Q311122,1CSLG
144,7,8745,Castanea,Q129324,1CSNG
145,7,8745,Castanopsis,Q1048531,1CSOG
146,7,8746,Cistus,Q206127,1CSTG
147,7,85,Casuarina,Q756005,1CSUG
148,8,8648,Cattleya,Q133733,1CTBG
149,7,8616,Catalpa,Q158072,1CTLG
150,8,8624,Cotoneaster,Q5538,1CTTG
151,8,8665,Catharanthus,Q1050790,1CTUG
152,6,8701,Cucurbitaceae,Q8314,1CUCF
153,7,152,Cucumis,Q148758,1CUMG
154,5,8712,Cupressaceae,Q146037,1CUPF
155,8,8698,Clausena,Q2993704,1CUSG
156,7,152,Cucurbita,Q5339301,1CUUG
157,6,154,x Cuprocyparis,,1CUYG
158,6,154,Cupressus,Q146911,1CVBG
159,8,8748,Crocus,Q157806,1CVOG
160,7,74,Cryptanthus,Q138350,1CWPG
161,7,8749,Casearia,Q537066,1CWSG
162,8,45,Colocasia,Q310882,1CXSG
163,7,8750,Carya,Q142788,1CYAG
164,7,8751,Corylus,Q145889,1CYLG
165,8,8679,Cynodon,Q959222,1CYNG
166,6,8621,Cyperaceae,Q155843,1CYPF
167,8,8742,Cyperus,Q161224,1CYPG
168,8,8668,Cynara,Q19070,1CYUG
169,8,8753,Cyclamen,Q147295,1CYZG
170,8,8672,Dalbergia,Q1370281,1DAGG
171,8,8668,Dahlia,Q130918,1DAHG
172,7,459,Datura,Q192497,1DATG
173,8,8678,Delphinium,Q160107,1DELG
174,8,8648,Dendrobium,Q133778,1DENG
175,7,8754,Deutzia,Q157860,1DEZG
176,8,45,Dieffenbachia,Q738915,1DIFG
177,7,379,Digitalis,Q156533,1DIKG
178,7,8755,Dianthus,Q156099,1DING
179,7,8757,Dioscorea,Q71549,1DIUG
180,6,8758,Dioon,Q135605,1DOOG
181,7,8759,Diospyros,Q165258,1DOSG
182,8,8703,Dracaena,Q158009,1DRNG
183,7,8760,Drypetes,Q2841094,1DRPG
184,8,8687,Dypsis,Q2658058,1DYQG
185,8,8687,Dictyosperma,Q16060603,1DYTG
186,8,8732,Diosma,Q8560125,1DZAG
187,8,8705,Eranthemum,Q2703906,1EAUG
188,6,8758,Encephalartos,Q947957,1ECFG
189,8,8624,Eriobotrya,Q1550170,1EIOG
190,7,8761,Elaeagnus,Q161042,1ELGG
191,7,8686,Eleutherococcus,Q133016,1ELKG
192,7,8720,Entandrophragma,Q133937,1ENDG
193,7,318,Ensete,Q312321,1ENSG
194,8,8762,Euphorbia,Q146567,1EPHG
195,6,8689,Ericaceae,Q975872,1ERIF
196,7,138,Erysimum,Q165206,1ERYG
197,8,8672,Erythrina,Q1340386,1ERZG
198,8,8727,Eucalyptus,Q45669,1EUCG
199,8,8727,Eugenia,Q975998,1EUEG
200,7,8722,Euonymus,Q161113,1EUOG
201,6,8630,Euphorbiaceae,Q156584,1EUPF
202,8,8763,Fagopyrum,Q7223832,1FAGG
203,7,8745,Fagus,Q25403,1FAUG
204,8,8647,Festuca,Q157337,1FESG
205,7,8619,Ficus,Q1938846,1FIUG
206,8,40,Fernaldia,Q5444497,1FNAG
207,8,8698,Fortunella,,1FOLG
208,8,8624,Fragaria,Q745,1FRAG
209,7,8764,Fraxinus,Q128887,1FRXG
210,7,8765,Fuchsia,Q161066,1FUCG
211,7,425,Gardenia,Q740887,1GADG
212,8,267,Galeopsis,Q161675,1GAEG
213,8,8668,Gaillardia,Q732510,1GAIG
214,7,8766,Garcinia,Q311454,1GANG
215,7,195,Gaylussacia,Q2704451,1GAYG
216,8,8767,Gerbera,Q310654,1GEBG
217,8,8672,Genista,Q156696,1GENG
218,7,8769,Geranium,Q157211,1GERG
219,8,8748,Gladiolus,Q156207,1GLAG
220,8,8629,Gleditsia,Q161250,1GLIG
221,8,8672,Glycine,Q311395,1GLXG
222,8,8627,Gossypium,Q719312,1GOSG
223,8,8729,Gloxinia,Q5239844,1GOXG
224,6,8621,Poaceae,Q43238,1GRAF
225,8,8772,Grevillea,Q1545761,1GREG
226,8,8668,Grindelia,Q2702875,1GRNG
227,8,8687,Gaussia,Q142507,1GSIG
228,7,8773,Hamamelis,Q148463,1HAMG
229,7,8774,Heliconia,Q624242,1HEBG
230,7,8686,Hedera,,1HEEG
231,8,8776,Hemerocallis,Q156275,1HEGG
232,8,8668,Helianthus,Q26949,1HELG
233,8,8777,Hedychium,Q137050,1HEYG
234,8,8687,Hyophorbe,Q135067,1HFBG
235,8,8627,Hibiscus,Q157124,1HIBG
236,7,8761,Hippophae,Q5686857,1HIOG
237,8,8687,Howea,Q1739062,1HOWG
238,8,8778,Hippeastrum,Q757257,1HPSG
239,8,8779,Hosta,Q623347,1HSTG
240,8,8656,Hevea,Q2350189,1HVEG
241,8,8780,Hyacinthus,Q158758,1HYAG
242,7,8754,Hydrangea,Q155997,1HYEG
243,7,8781,Hypericum,Q156935,1HYPG
244,8,8687,Hydriastele,Q2711792,1HZDG
245,7,8764,Jasminum,Q82014,1IASG
246,8,8656,Jatropha,Q152986,1IATG
247,7,8783,Ilex,Q117085,1ILEG
248,7,8784,Impatiens,Q141672,1IPAG
249,7,133,Ipomoea,Q161173,1IPOG
250,7,8785,Ipomopsis,Q3004001,1IPPG
251,8,8786,Iris,Q156901,1IRIG
252,7,8750,Juglans,Q2453469,1IUGG
253,7,8787,Juncus,Q158480,1IUNG
254,6,154,Juniperus,Q25662,1IUPG
255,8,8668,Iva,Q4338415,1IVAG
256,7,425,Ixora,Q2717258,1IXRG
257,7,195,Kalmia,Q1427635,1KAMG
258,7,8743,Kalanchoe,Q312063,1KANG
259,8,105,Kochia,Q1046600,1KCHG
260,6,374,Keteleeria,Q132109,1KETG
261,8,8629,Chamaecrista,Q2948035,1KHQG
262,8,45,Cryptocoryne,Q1423091,1KNYG
263,8,8788,Koelreuteria,Q132703,1KOTG
264,8,8778,Crinum,Q683353,1KRMG
265,8,8789,Cyathocalyx,Q5197637,1KXYG
266,7,8790,Lagerstroemia,Q775229,1LAEG
267,7,8654,Lamioideae,Q148845,1LAMS
268,7,508,Lantana,Q1096635,1LANG
269,6,374,Larix,Q25618,1LAXG
270,6,8628,Fabaceae,Q2615411,1LEGF
271,7,8792,Lindera,Q311790,1LIEG
272,7,8764,Ligustrum,Q753099,1LIGG
273,8,8788,Litchi,Q655597,1LIHG
274,7,8793,Lilium,Q5194627,1LILG
275,6,8630,Linaceae,Q155951,1LINF
276,7,8794,Liquidambar,Q183543,1LIQG
277,7,275,Linum,Q161100,1LIUG
278,8,8641,Livistona,Q132836,1LIVG
279,8,8795,Lobelia,Q158182,1LOBG
280,8,8647,Lolium,Q158509,1LOLG
281,8,8798,Lonicera,Q156047,1LONG
282,8,8672,Lathyrus,Q157209,1LTHG
283,8,8739,Luehea,Q145982,1LUHG
284,8,8672,Lupinus,Q156811,1LUPG
285,7,8792,Laurus,Q21188,1LURG
286,8,8727,Lenwebbia,Q3072816,1LWBG
287,8,8655,Lycopus,Q158341,1LYAG
